regime,mode,model,sigma,H_global_boot_median,H_global_boot_lo95,H_global_boot_hi95
Baseline,x,baseline,0.05,0.624885018984655,0.624885018984655,0.624885018984655
Baseline,x,baseline,0.1,0.625883268246965,0.625883268246965,0.625883268246965
Baseline,x,baseline,0.5,0.6451515763308959,0.6451515763308959,0.6451515763308959
Baseline,x,baseline,1.0,0.633431743075268,0.633431743075268,0.633431743075268
Baseline,x2,baseline,0.05,0.6427376721612048,0.6427376721612048,0.6427376721612048
Baseline,x2,baseline,0.1,0.6390469895638923,0.6390469895638923,0.6390469895638923
Baseline,x2,baseline,0.5,0.6309926196723704,0.6309926196723704,0.6309926196723704
Baseline,x2,baseline,1.0,0.6410902485596224,0.6410902485596224,0.6410902485596224
Baseline,xy,baseline,0.05,0.6269181696302654,0.6269181696302654,0.6269181696302654
Baseline,xy,baseline,0.1,0.6293297405028923,0.6293297405028923,0.6293297405028923
Baseline,xy,baseline,0.5,0.6315791701787917,0.6315791701787917,0.6315791701787917
Baseline,xy,baseline,1.0,0.6422549631008002,0.6422549631008002,0.6422549631008002
FixedMean,x,gru,0.05,0.5545717533998457,0.5545717533998457,0.5545717533998457
FixedMean,x,gru,0.1,0.5443011459564102,0.5443011459564102,0.5443011459564102
FixedMean,x,gru,0.5,0.5891782396330884,0.5891782396330884,0.5891782396330884
FixedMean,x,gru,1.0,0.5495593880757644,0.5495593880757644,0.5495593880757644
FixedMean,x,lstm,0.05,0.8717395906244484,0.8717395906244484,0.8717395906244484
FixedMean,x,lstm,0.1,0.7937822366699661,0.7937822366699661,0.7937822366699661
FixedMean,x,lstm,0.5,0.7448218039033588,0.7448218039033588,0.7448218039033588
FixedMean,x,lstm,1.0,0.5402997825313238,0.5402997825313238,0.5402997825313238
FixedMean,x,mlp,0.05,1.1439382852163469,1.1439382852163469,1.1439382852163469
FixedMean,x,mlp,0.1,0.9472789289161806,0.9472789289161806,0.9472789289161806
FixedMean,x,mlp,0.5,0.6654214036099243,0.6654214036099243,0.6654214036099243
FixedMean,x,mlp,1.0,1.1451821765028494,1.1451821765028494,1.1451821765028494
FixedMean,x2,gru,0.05,0.9633807969453225,0.9633807969453225,0.9633807969453225
FixedMean,x2,gru,0.1,1.0096724443555385,1.0096724443555385,1.0096724443555385
FixedMean,x2,gru,0.5,1.0548405268883645,1.0548405268883645,1.0548405268883645
FixedMean,x2,gru,1.0,0.9214538482938902,0.9214538482938902,0.9214538482938902
FixedMean,x2,lstm,0.05,1.022481219324061,1.022481219324061,1.022481219324061
FixedMean,x2,lstm,0.1,0.9015051138894051,0.9015051138894051,0.9015051138894051
FixedMean,x2,lstm,0.5,0.9937953376262014,0.9937953376262014,0.9937953376262014
FixedMean,x2,lstm,1.0,1.061391403151457,1.061391403151457,1.061391403151457
FixedMean,x2,mlp,0.05,0.9105885873626423,0.9105885873626423,0.9105885873626423
FixedMean,x2,mlp,0.1,0.9611157000105734,0.9611157000105734,0.9611157000105734
FixedMean,x2,mlp,0.5,0.9073954181982936,0.9073954181982936,0.9073954181982936
FixedMean,x2,mlp,1.0,0.9570325186566152,0.9570325186566152,0.9570325186566152
FixedMean,xy,gru,0.05,0.9937349951399858,0.9937349951399858,0.9937349951399858
FixedMean,xy,gru,0.1,0.9689125720753992,0.9689125720753992,0.9689125720753992
FixedMean,xy,gru,0.5,1.0732104541763152,1.0732104541763152,1.0732104541763152
FixedMean,xy,gru,1.0,0.8057444516307508,0.8057444516307508,0.8057444516307508
FixedMean,xy,lstm,0.05,0.6920083075811441,0.6920083075811441,0.6920083075811441
FixedMean,xy,lstm,0.1,0.955866674670386,0.955866674670386,0.955866674670386
FixedMean,xy,lstm,0.5,0.7480297687394308,0.7480297687394308,0.7480297687394308
FixedMean,xy,lstm,1.0,0.8009605803086441,0.8009605803086441,0.8009605803086441
FixedMean,xy,mlp,0.05,0.8680099074630593,0.8680099074630593,0.8680099074630593
FixedMean,xy,mlp,0.1,0.5644925922038654,0.5644925922038654,0.5644925922038654
FixedMean,xy,mlp,0.5,0.9003593003200774,0.9003593003200774,0.9003593003200774
FixedMean,xy,mlp,1.0,1.2307095182793908,1.2307095182793908,1.2307095182793908
Resample,x,gru,0.05,0.21503560392218896,0.21503560392218896,0.21503560392218896
Resample,x,gru,0.1,0.21747997606966307,0.21747997606966307,0.21747997606966307
Resample,x,gru,0.5,0.21649793327915817,0.21649793327915817,0.21649793327915817
Resample,x,gru,1.0,0.21772255522668527,0.21772255522668527,0.21772255522668527
Resample,x,lstm,0.05,0.21666050561671152,0.21666050561671152,0.21666050561671152
Resample,x,lstm,0.1,0.21612346798078275,0.21612346798078275,0.21612346798078275
Resample,x,lstm,0.5,0.21624319618718413,0.21624319618718413,0.21624319618718413
Resample,x,lstm,1.0,0.21545752148534117,0.21545752148534117,0.21545752148534117
Resample,x,mlp,0.05,0.21413405384907536,0.21413405384907536,0.21413405384907536
Resample,x,mlp,0.1,0.21652938115098944,0.21652938115098944,0.21652938115098944
Resample,x,mlp,0.5,0.21540268361365347,0.21540268361365347,0.21540268361365347
Resample,x,mlp,1.0,0.21692080371972167,0.21692080371972167,0.21692080371972167
Resample,x2,gru,0.05,0.34152805892573895,0.34152805892573895,0.34152805892573895
Resample,x2,gru,0.1,0.3781050943201394,0.3781050943201394,0.3781050943201394
Resample,x2,gru,0.5,0.322278830538158,0.322278830538158,0.322278830538158
Resample,x2,gru,1.0,0.37853513685707174,0.37853513685707174,0.37853513685707174
Resample,x2,lstm,0.05,0.33386581192866555,0.33386581192866555,0.33386581192866555
Resample,x2,lstm,0.1,0.3856008953241322,0.3856008953241322,0.3856008953241322
Resample,x2,lstm,0.5,0.38028707448067,0.38028707448067,0.38028707448067
Resample,x2,lstm,1.0,0.3868453409367234,0.3868453409367234,0.3868453409367234
Resample,x2,mlp,0.05,0.3313883687842827,0.3313883687842827,0.3313883687842827
Resample,x2,mlp,0.1,0.2757741733010657,0.2757741733010657,0.2757741733010657
Resample,x2,mlp,0.5,0.35475603908394937,0.35475603908394937,0.35475603908394937
Resample,x2,mlp,1.0,0.2750213537300394,0.2750213537300394,0.2750213537300394
Resample,xy,gru,0.05,0.20740993802620108,0.20740993802620108,0.20740993802620108
Resample,xy,gru,0.1,0.20983112151030325,0.20983112151030325,0.20983112151030325
Resample,xy,gru,0.5,0.21015607522747012,0.21015607522747012,0.21015607522747012
Resample,xy,gru,1.0,0.21022581088246306,0.21022581088246306,0.21022581088246306
Resample,xy,lstm,0.05,0.20976001125042923,0.20976001125042923,0.20976001125042923
Resample,xy,lstm,0.1,0.21097936958437746,0.21097936958437746,0.21097936958437746
Resample,xy,lstm,0.5,0.21001395482645682,0.21001395482645682,0.21001395482645682
Resample,xy,lstm,1.0,0.21098222831840746,0.21098222831840746,0.21098222831840746
Resample,xy,mlp,0.05,0.20995000518101178,0.20995000518101178,0.20995000518101178
Resample,xy,mlp,0.1,0.2115448028063422,0.2115448028063422,0.2115448028063422
Resample,xy,mlp,0.5,0.20882776624445212,0.20882776624445212,0.20882776624445212
Resample,xy,mlp,1.0,0.21047787465287077,0.21047787465287077,0.21047787465287077
