regime,mode,model,sigma,lobe_frac_truth,lobe_frac_analysis,lobe_abs_diff
FixedMean,x,gru,0.05,0.6086956521739131,0.7608695652173914,0.1521739130434782
FixedMean,x,gru,0.1,0.6086956521739131,0.7391304347826086,0.1304347826086955
FixedMean,x,gru,0.5,0.6086956521739131,0.7391304347826086,0.1304347826086955
FixedMean,x,gru,1.0,0.6086956521739131,0.7391304347826086,0.1304347826086955
FixedMean,x,lstm,0.05,0.6086956521739131,0.7391304347826086,0.1304347826086955
FixedMean,x,lstm,0.1,0.6086956521739131,0.7391304347826086,0.1304347826086955
FixedMean,x,lstm,0.5,0.6086956521739131,0.6086956521739131,0.0
FixedMean,x,lstm,1.0,0.6086956521739131,0.6086956521739131,0.0
FixedMean,x,mlp,0.05,0.6086956521739131,0.717391304347826,0.1086956521739129
FixedMean,x,mlp,0.1,0.6086956521739131,0.7391304347826086,0.1304347826086955
FixedMean,x,mlp,0.5,0.6086956521739131,0.717391304347826,0.1086956521739129
FixedMean,x,mlp,1.0,0.6086956521739131,0.7608695652173914,0.1521739130434782
FixedMean,x2,gru,0.05,0.6086956521739131,0.782608695652174,0.1739130434782608
FixedMean,x2,gru,0.1,0.6086956521739131,0.7608695652173914,0.1521739130434782
FixedMean,x2,gru,0.5,0.6086956521739131,0.782608695652174,0.1739130434782608
FixedMean,x2,gru,1.0,0.6086956521739131,0.7608695652173914,0.1521739130434782
FixedMean,x2,lstm,0.05,0.6086956521739131,0.7608695652173914,0.1521739130434782
FixedMean,x2,lstm,0.1,0.6086956521739131,0.7608695652173914,0.1521739130434782
FixedMean,x2,lstm,0.5,0.6086956521739131,0.7608695652173914,0.1521739130434782
FixedMean,x2,lstm,1.0,0.6086956521739131,0.7391304347826086,0.1304347826086955
FixedMean,x2,mlp,0.05,0.6086956521739131,0.7391304347826086,0.1304347826086955
FixedMean,x2,mlp,0.1,0.6086956521739131,0.7391304347826086,0.1304347826086955
FixedMean,x2,mlp,0.5,0.6086956521739131,0.7391304347826086,0.1304347826086955
FixedMean,x2,mlp,1.0,0.6086956521739131,0.7608695652173914,0.1521739130434782
FixedMean,xy,gru,0.05,0.6086956521739131,0.8043478260869565,0.1956521739130434
FixedMean,xy,gru,0.1,0.6086956521739131,0.8043478260869565,0.1956521739130434
